# a  alpha_K  alpha_B  alpha_M  alpha_T
4.539992976248485417e-05 1.904623290000000041e-23 4.840926750000000315e-24 0.000000000000000000e+00 0.000000000000000000e+00
4.631892190062901672e-05 2.049879319999999908e-23 5.210119849999999650e-24 0.000000000000000000e+00 0.000000000000000000e+00
4.725651641446822481e-05 2.206108990000000107e-23 5.607204369999999715e-24 0.000000000000000000e+00 0.000000000000000000e+00
4.821308985606114362e-05 2.374131689999999910e-23 6.034262870000000160e-24 0.000000000000000000e+00 0.000000000000000000e+00
4.918902639968925110e-05 2.554827079999999984e-23 6.493531199999999719e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.018471799614704029e-05 2.749150449999999732e-23 6.987437359999999748e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.120056453015544212e-05 2.958117949999999707e-23 7.518564090000000586e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.223702621796123450e-05 3.182807759999999859e-23 8.089651780000000117e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.329441588057707511e-05 3.424387960000000158e-23 8.703669290000000110e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.437320938218523776e-05 3.684112059999999824e-23 9.363802640000000719e-24 0.000000000000000000e+00 0.000000000000000000e+00
5.547383998248156306e-05 3.963340940000000131e-23 1.007351069999999951e-23 0.000000000000000000e+00 0.000000000000000000e+00
5.659674971126915844e-05 4.263521390000000065e-23 1.083647079999999980e-23 0.000000000000000000e+00 0.000000000000000000e+00
5.774238954598433373e-05 4.586187680000000249e-23 1.165658260000000039e-23 0.000000000000000000e+00 0.000000000000000000e+00
5.891121959281551496e-05 4.933001449999999778e-23 1.253806920000000034e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.010370927148938393e-05 5.305766220000000264e-23 1.348551479999999977e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.132033750379653275e-05 5.706375839999999888e-23 1.450373290000000032e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.256159290593378097e-05 6.136905420000000094e-23 1.559799760000000134e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.382797398473970024e-05 6.599533350000000579e-23 1.677384589999999921e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.511998933790256073e-05 7.096646360000000134e-23 1.803734379999999858e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.643822429641189128e-05 7.630749230000000438e-23 1.939485789999999990e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.778307672504082875e-05 8.204553440000000357e-23 2.085327970000000128e-23 0.000000000000000000e+00 0.000000000000000000e+00
6.915515185677392524e-05 8.821035819999999723e-23 2.242017539999999917e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.055500073762079809e-05 9.483214619999999939e-23 2.410321639999999860e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.198318556794640387e-05 1.019454329999999988e-22 2.591118029999999891e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.344027992825923079e-05 1.095848860000000102e-22 2.785287819999999985e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.492686900956980979e-05 1.177901770000000041e-22 2.993839369999999855e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.644354984841221663e-05 1.266016110000000026e-22 3.217797080000000063e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.799093156662298529e-05 1.360632369999999929e-22 3.458280519999999799e-23 0.000000000000000000e+00 0.000000000000000000e+00
7.956963561597354723e-05 1.462234020000000025e-22 3.716518540000000254e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.118029602775476419e-05 1.571310370000000065e-22 3.993754790000000177e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.282355966741284010e-05 1.688421670000000005e-22 4.291413249999999928e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.450008649434114297e-05 1.814136320000000015e-22 4.610938600000000266e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.621063603752201056e-05 1.949083160000000087e-22 4.953929129999999820e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.795572456865796912e-05 2.093920599999999941e-22 5.322058309999999816e-23 0.000000000000000000e+00 0.000000000000000000e+00
8.973613744167881581e-05 2.249369629999999792e-22 5.717158690000000355e-23 0.000000000000000000e+00 0.000000000000000000e+00
9.155258969717279993e-05 2.416194489999999938e-22 6.141172690000000350e-23 0.000000000000000000e+00 0.000000000000000000e+00
9.340581084968576644e-05 2.595203029999999792e-22 6.596153590000000318e-23 0.000000000000000000e+00 0.000000000000000000e+00
9.529654518070609828e-05 2.787279810000000101e-22 7.084349659999999852e-23 0.000000000000000000e+00 0.000000000000000000e+00
9.722555203757872683e-05 2.993362030000000210e-22 7.608142969999999657e-23 0.000000000000000000e+00 0.000000000000000000e+00
9.919360613847058963e-05 3.214452699999999852e-22 8.170082829999999683e-23 0.000000000000000000e+00 0.000000000000000000e+00
1.012014978835091287e-04 3.451611460000000134e-22 8.772862479999999493e-23 0.000000000000000000e+00 0.000000000000000000e+00
1.032500336722188514e-04 3.706013100000000088e-22 9.419467899999999722e-23 0.000000000000000000e+00 0.000000000000000000e+00
1.053400362273835107e-04 3.978857780000000205e-22 1.011294939999999976e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.074723449254639271e-04 4.271473319999999541e-22 1.085668199999999988e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.096479257815753314e-04 4.585247220000000208e-22 1.165419220000000042e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.118674354214415018e-04 4.921717879999999935e-22 1.250939010000000030e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.141318727059151245e-04 5.282455140000000235e-22 1.342626569999999911e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.164421470670679091e-04 5.669196000000000431e-22 1.440923389999999904e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.187991863458309901e-04 6.083802249999999659e-22 1.546302679999999958e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.212039371646297519e-04 6.528192049999999954e-22 1.659251970000000060e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.236573653075617057e-04 7.004487879999999572e-22 1.780310730000000094e-22 0.000000000000000000e+00 0.000000000000000000e+00
1.261604561082698035e-04 7.514934300000000214e-22 1.910049440000000011e-22 0.000000000000000000e+00 0.000000000000000000e+00
