# weight H0_light H0_matter omega_cdm logA F_arithmetic F_weighted
1.000000000000000000e+00 6.566671599999999387e+01 7.185275667266027710e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.875973633633013549e+01 6.576440029564894019e+01
1.000000000000000000e+00 6.566671599999999387e+01 7.315906331997176437e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.941288965998587912e+01 6.578502829528497386e+01
1.000000000000000000e+00 6.566671599999999387e+01 7.249810727174336478e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.908241163587167932e+01 6.577459108197801640e+01
1.000000000000000000e+00 6.566671599999999387e+01 7.409168426498396798e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.987920013249197382e+01 6.579975539213766922e+01
1.000000000000000000e+00 6.566671599999999387e+01 7.280504717450521923e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.923588158725260655e+01 6.577943799615049159e+01
1.000000000000000000e+00 6.566671599999999387e+01 7.349835911714899339e+01 1.192870600000000003e-01 2.955052799999999813e+00 6.958253755857450074e+01 6.579038614414464803e+01
1.000000000000000000e+00 6.566468299999999658e+01 7.093457716382263811e+01 1.192787599999999976e-01 2.912601399999999785e+00 6.829963008191131735e+01 6.574790034802239802e+01
1.000000000000000000e+00 6.566468299999999658e+01 7.057413336759923084e+01 1.192787599999999976e-01 2.912601399999999785e+00 6.811940818379960660e+01 6.574220854930682378e+01
1.000000000000000000e+00 6.575149500000000558e+01 7.243769916019144262e+01 1.190075800000000017e-01 2.910327000000000108e+00 6.909459708009572410e+01 6.585707741992166575e+01
1.000000000000000000e+00 6.574687900000000695e+01 7.077803400616936358e+01 1.190044600000000063e-01 2.910998199999999869e+00 6.826245650308467816e+01 6.582632639763035343e+01
1.000000000000000000e+00 6.574687900000000695e+01 7.231123556606952718e+01 1.190044600000000063e-01 2.910998199999999869e+00 6.902905728303477417e+01 6.585053731417485778e+01
1.000000000000000000e+00 6.574687900000000695e+01 7.403022283135926784e+01 1.190044600000000063e-01 2.910998199999999869e+00 6.988855091567964450e+01 6.587768198863220448e+01
1.000000000000000000e+00 6.574687900000000695e+01 7.404443105529362867e+01 1.190044600000000063e-01 2.910998199999999869e+00 6.989565502764682492e+01 6.587790635190766864e+01
1.000000000000000000e+00 6.596385200000000282e+01 7.239900734031674290e+01 1.184234100000000067e-01 2.918942299999999879e+00 6.918142967015836575e+01 6.606547008660402298e+01
1.000000000000000000e+00 6.596385200000000282e+01 7.160037766660323655e+01 1.184234100000000067e-01 2.918942299999999879e+00 6.878211483330161968e+01 6.605285885733974283e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.286026898155844833e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.939942649077923420e+01 6.604788491764763592e+01
1.000000000000000000e+00 6.593858400000000586e+01 6.919245063036325405e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.756551731518163706e+01 6.598996608536640451e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.165215864741603013e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.879537132370802510e+01 6.602880754436452548e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.481374077756889562e+01 1.185244099999999967e-01 2.910880899999999993e+00 7.037616238878445074e+01 6.607873235732044748e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.352176179876474293e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.973017289938238150e+01 6.605833060711930216e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.268968323312691382e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.931413361656345273e+01 6.604519118355098328e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.042958653825277793e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.818408526912639900e+01 6.600950180395912525e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.138989938451260286e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.866424169225629726e+01 6.602466618598526793e+01
1.000000000000000000e+00 6.593858400000000586e+01 7.185779892155228765e+01 1.185244099999999967e-01 2.910880899999999993e+00 6.889819146077614676e+01 6.603205482746514576e+01
1.000000000000000000e+00 6.539370499999999709e+01 7.267341139172874875e+01 1.201466900000000004e-01 2.974765600000000010e+00 6.903355819586437292e+01 6.550865946425852826e+01
1.000000000000000000e+00 6.539370499999999709e+01 7.325275412561715882e+01 1.201466900000000004e-01 2.974765600000000010e+00 6.932322956280857795e+01 6.551780791476085142e+01
1.000000000000000000e+00 6.539370499999999709e+01 7.236542359054074325e+01 1.201466900000000004e-01 2.974765600000000010e+00 6.887956429527037017e+01 6.550379600263266866e+01
1.000000000000000000e+00 6.535708099999999376e+01 7.380937733683555280e+01 1.202551800000000032e-01 2.973302799999999912e+00 6.958322916841777328e+01 6.549055193205010994e+01
1.000000000000000000e+00 6.535708099999999376e+01 7.157204260398331996e+01 1.202551800000000032e-01 2.973302799999999912e+00 6.846456180199166397e+01 6.545522198854109774e+01
1.000000000000000000e+00 6.535708099999999376e+01 6.955599814463474218e+01 1.202551800000000032e-01 2.973302799999999912e+00 6.745653957231736797e+01 6.542338645860694157e+01
1.000000000000000000e+00 6.535708099999999376e+01 7.467608666359859626e+01 1.202551800000000032e-01 2.973302799999999912e+00 7.001658383179929501e+01 6.550423821291977333e+01
1.000000000000000000e+00 6.536007899999999893e+01 6.921015491136137143e+01 1.202417999999999959e-01 2.973279900000000087e+00 6.728511695568067807e+01 6.542087587695208128e+01
1.000000000000000000e+00 6.536007899999999893e+01 7.123986778154524302e+01 1.202417999999999959e-01 2.973279900000000087e+00 6.829997339077262097e+01 6.545292724592702882e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.401523555238379970e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.970090827619191032e+01 6.552283681966716244e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.157675659513306243e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.848166879756652747e+01 6.548433059056223726e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.131642634367997857e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.835150367183999265e+01 6.548021969336724624e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.197881133345488536e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.868269616672745315e+01 6.549067947121199040e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.508701715384830777e+01 1.200865700000000036e-01 2.973968000000000167e+00 7.023679907692415725e+01 6.553976141430993607e+01
2.000000000000000000e+00 6.538658100000000672e+01 7.318793210170815655e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.928725655085408164e+01 6.550977280034631178e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.091160026969677688e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.814909063484839180e+01 6.547382705031979810e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.118616326405214068e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.828637213202607370e+01 6.547816269797135647e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.112891774063879780e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.825774937031940226e+01 6.547725872903069444e+01
1.000000000000000000e+00 6.538658100000000672e+01 6.942912510825442496e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.740785305412721584e+01 6.545041715865798437e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.222859810471945252e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.880758955235972962e+01 6.549462387541244368e+01
1.000000000000000000e+00 6.538658100000000672e+01 7.131732070253528377e+01 1.200865700000000036e-01 2.973968000000000167e+00 6.835195085126764525e+01 6.548023381626418882e+01
1.000000000000000000e+00 6.542642100000000482e+01 7.212592968388850068e+01 1.202019099999999951e-01 2.918364700000000145e+00 6.877617534194425275e+01 6.553221351278963880e+01
2.000000000000000000e+00 6.542642100000000482e+01 7.191276859702371382e+01 1.202019099999999951e-01 2.918364700000000145e+00 6.866959479851186643e+01 6.552884746789403891e+01
2.000000000000000000e+00 6.542642100000000482e+01 7.116800649687681357e+01 1.202019099999999951e-01 2.918364700000000145e+00 6.829721374843840920e+01 6.551708686607639720e+01
1.000000000000000000e+00 6.542642100000000482e+01 7.370394856139299122e+01 1.202019099999999951e-01 2.918364700000000145e+00 6.956518478069649802e+01 6.555713214341730577e+01
1.000000000000000000e+00 6.542642100000000482e+01 7.526298049988666605e+01 1.202019099999999951e-01 2.918364700000000145e+00 7.034470074994334254e+01 6.558175094967232610e+01
1.000000000000000000e+00 6.542642100000000482e+01 7.188540727673755271e+01 1.202019099999999951e-01 2.918364700000000145e+00 6.865591413836878587e+01 6.552841540295273148e+01
1.000000000000000000e+00 6.542642100000000482e+01 7.503186627352398830e+01 1.202019099999999951e-01 2.918364700000000145e+00 7.022914363676198946e+01 6.557810140522033748e+01
1.000000000000000000e+00 6.541890600000000688e+01 7.005122250547168505e+01 1.202176100000000025e-01 2.919032899999999930e+00 6.773506425273583886e+01 6.549205530486311488e+01
1.000000000000000000e+00 6.541890600000000688e+01 7.229096199601772810e+01 1.202176100000000025e-01 2.919032899999999930e+00 6.885493399800887460e+01 6.552742322210588100e+01
1.000000000000000000e+00 6.552845700000000306e+01 7.257947983915009615e+01 1.198778800000000061e-01 2.904027099999999972e+00 6.905396841957505671e+01 6.563980030278349886e+01
1.000000000000000000e+00 6.613595599999999308e+01 7.241013721001068859e+01 1.178903399999999962e-01 2.926465100000000152e+00 6.927304660500533373e+01 6.623503213038860338e+01
1.000000000000000000e+00 6.613595599999999308e+01 7.060974499310479757e+01 1.178903399999999962e-01 2.926465100000000152e+00 6.837285049655238822e+01 6.620660198340014801e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.441372865736455822e+01 1.180709999999999954e-01 2.922572699999999912e+00 7.020868932868228285e+01 6.613645426907434910e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.324905518541476113e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.962635259270737720e+01 6.611806281098529325e+01
2.000000000000000000e+00 6.600364999999999327e+01 7.332074582992868272e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.966219791496433800e+01 6.611919488406475409e+01
1.000000000000000000e+00 6.600364999999999327e+01 6.857489612210889618e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.728927306105444472e+01 6.604425276672417056e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.100090206551341510e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.850227603275669708e+01 6.608256203340407353e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.076739311492832485e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.838552155746415906e+01 6.607887467365772238e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.335383515044063074e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.967874257522031201e+01 6.611971740034596223e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.346425618304800764e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.973395309152400046e+01 6.612146106828573977e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.287373686245216220e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.943869343122608484e+01 6.611213612734987066e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.012113908205589041e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.806239454102794184e+01 6.606866962112864883e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.464660137967639741e+01 1.180709999999999954e-01 2.922572699999999912e+00 7.032512568983818824e+01 6.614013158208578602e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.170546024145788522e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.885455512072894635e+01 6.609368777162706010e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.420782128118099763e+01 1.180709999999999954e-01 2.922572699999999912e+00 7.010573564059049545e+01 6.613320276814252452e+01
1.000000000000000000e+00 6.600364999999999327e+01 7.298036161715874925e+01 1.180709999999999954e-01 2.922572699999999912e+00 6.949200580857936416e+01 6.611381984794167010e+01
