Generating 2000 C_l spectra over H0=[60,80], ocdm=[0.09,0.16], logA=[2.7,3.4]
  100/2000 (0 fail) [402s, ETA 127min]
  200/2000 (0 fail) [809s, ETA 121min]
  300/2000 (0 fail) [1212s, ETA 114min]
  400/2000 (0 fail) [1613s, ETA 108min]
  500/2000 (0 fail) [2017s, ETA 101min]
  600/2000 (0 fail) [2430s, ETA 95min]
  700/2000 (0 fail) [2832s, ETA 88min]
  800/2000 (0 fail) [3238s, ETA 81min]
  900/2000 (0 fail) [3644s, ETA 74min]
  1000/2000 (0 fail) [4058s, ETA 68min]
  1100/2000 (0 fail) [4476s, ETA 61min]
  1200/2000 (0 fail) [4869s, ETA 54min]
  1300/2000 (0 fail) [5272s, ETA 47min]
  1400/2000 (0 fail) [5674s, ETA 41min]
  1500/2000 (0 fail) [6090s, ETA 34min]
  1600/2000 (0 fail) [6501s, ETA 27min]
  1700/2000 (0 fail) [6915s, ETA 20min]
  1800/2000 (0 fail) [7322s, ETA 14min]
  1900/2000 (0 fail) [7716s, ETA 7min]
  2000/2000 (0 fail) [8120s, ETA 0min]
Done: 2000 spectra, 0 failed, 135 min
